Key,Original Text,File,Line,Type
"app.page.0_col","0 && col","src/app/page.tsx",354,jsx
"app.layout.doshi_sensei","Doshi Sensei","src/app/layout.tsx",145,prop
"app.layout.telephoneno","telephone=no","src/app/layout.tsx",146,prop
"app.layout.browserconfigxml","/browserconfig.xml","src/app/layout.tsx",148,prop
"app.error.","🚧","src/app/error.tsx",48,jsx
"vocabulary.page.did_you_mean","Did you mean:","src/app/vocabulary/page.tsx",376,jsx
"vocabulary.page.search_history","Search History","src/app/vocabulary/page.tsx",412,jsx
"vocabulary.page.","📚","src/app/vocabulary/page.tsx",425,jsx
"vocabulary.page.select_existing_lists","Select existing lists:","src/app/vocabulary/page.tsx",797,jsx
"vocabulary.page.list_type","List Type:","src/app/vocabulary/page.tsx",862,jsx
"vocabulary.page.sentence_list","Sentence List","src/app/vocabulary/page.tsx",875,jsx
"vocabulary.page.for_saving_example_sentences","For saving example sentences","src/app/vocabulary/page.tsx",876,jsx
"vocabulary.page._perfect_for_contextbased_lear","✓ Perfect for context-based learning","src/app/vocabulary/page.tsx",877,jsx
"vocabulary.page.flashcard_list","Flashcard List","src/app/vocabulary/page.tsx",892,jsx
"vocabulary.page.for_memorization_and_review_ac","For memorization and review (accepts any content)","src/app/vocabulary/page.tsx",893,jsx
"vocabulary.page._perfect_for_vocabulary_study","✓ Perfect for vocabulary study","src/app/vocabulary/page.tsx",894,jsx
"vocabulary.page.drillable_list","Drillable List","src/app/vocabulary/page.tsx",911,jsx
"vocabulary.page.for_conjugation_practice_verbs","For conjugation practice (verbs & adjectives only)","src/app/vocabulary/page.tsx",912,jsx
"vocabulary.page.delete_entry","Delete entry","src/app/vocabulary/page.tsx",467,prop
"vocabulary.page.new_list_name","New list name...","src/app/vocabulary/page.tsx",856,prop
"test-three-pillar-integration.page.threepillar_integration_test","Three-Pillar Integration Test","src/app/test-three-pillar-integration/page.tsx",229,jsx
"test-three-pillar-integration.page.user_status","User Status","src/app/test-three-pillar-integration/page.tsx",238,jsx
"test-three-pillar-integration.page.type","Type:","src/app/test-three-pillar-integration/page.tsx",242,jsx
"test-three-pillar-integration.page.premium","Premium:","src/app/test-three-pillar-integration/page.tsx",246,jsx
"test-three-pillar-integration.page.subscription","Subscription:","src/app/test-three-pillar-integration/page.tsx",252,jsx
"test-three-pillar-integration.page.feature_access","Feature Access","src/app/test-three-pillar-integration/page.tsx",262,jsx
"test-three-pillar-integration.page.feature","Feature:","src/app/test-three-pillar-integration/page.tsx",266,jsx
"test-three-pillar-integration.page.status","Status:","src/app/test-three-pillar-integration/page.tsx",270,jsx
"test-three-pillar-integration.page.limit","Limit:","src/app/test-three-pillar-integration/page.tsx",276,jsx
"test-three-pillar-integration.page.storage_status","Storage Status","src/app/test-three-pillar-integration/page.tsx",284,jsx
"test-three-pillar-integration.page.cached","Cached:","src/app/test-three-pillar-integration/page.tsx",288,jsx
"test-three-pillar-integration.page.size","Size:","src/app/test-three-pillar-integration/page.tsx",294,jsx
"test-three-pillar-integration.page.usage","Usage:","src/app/test-three-pillar-integration/page.tsx",298,jsx
"test-three-pillar-integration.page.storage_visualization","Storage Visualization","src/app/test-three-pillar-integration/page.tsx",310,jsx
"test-three-pillar-integration.page.integration_tests","Integration Tests","src/app/test-three-pillar-integration/page.tsx",320,jsx
"test-three-pillar-integration.page.test_results","Test Results","src/app/test-three-pillar-integration/page.tsx",353,jsx
"test-three-pillar-integration.page.no_tests_run_yet_click_run_all","No tests run yet. Click ""Run All Tests"" to begin.","src/app/test-three-pillar-integration/page.tsx",356,jsx
"test-shadowing.page.shadowing_practice_test","Shadowing Practice Test","src/app/test-shadowing/page.tsx",39,jsx
"test-shadowing.page.sample_article","Sample Article","src/app/test-shadowing/page.tsx",43,jsx
"test-shadowing.page.about_shadowing_practice","About Shadowing Practice","src/app/test-shadowing/page.tsx",55,jsx
"test-shadowing.page._listen_to_each_sentence_one_a","• Listen to each sentence one at a time","src/app/test-shadowing/page.tsx",57,jsx
